CMDLINE othello -g
MEM 877.160156 1775762400.9626
MEM 880.640625 1775762401.0644
MEM 877.160156 1775762401.1662
MEM 883.593750 1775762401.2680
MEM 882.558594 1775762401.3699
MEM 877.628906 1775762401.4717
MEM 877.812500 1775762401.5734
MEM 879.335938 1775762401.6753
MEM 881.316406 1775762401.7771
MEM 881.316406 1775762401.8790
MEM 879.316406 1775762401.9810
MEM 874.660156 1775762402.0829
MEM 875.535156 1775762402.1846
MEM 882.234375 1775762402.2863
MEM 883.832031 1775762402.3892
MEM 880.117188 1775762402.4910
MEM 878.121094 1775762402.5929
MEM 881.601562 1775762402.6948
MEM 878.183594 1775762402.7966
MEM 882.324219 1775762402.8984
MEM 884.593750 1775762403.0002
MEM 879.500000 1775762403.1020
MEM 879.507812 1775762403.2040
MEM 886.140625 1775762403.3058
MEM 883.496094 1775762403.4088
MEM 879.453125 1775762403.5105
MEM 879.460938 1775762403.6127
MEM 882.167969 1775762403.7144
MEM 879.460938 1775762403.8161
MEM 879.460938 1775762403.9179
MEM 879.460938 1775762404.0202
MEM 879.476562 1775762404.1227
MEM 879.476562 1775762404.2248
MEM 879.476562 1775762404.3277
MEM 879.476562 1775762404.4295
MEM 879.476562 1775762404.5317
MEM 879.476562 1775762404.6349
MEM 879.476562 1775762404.7371
MEM 879.476562 1775762404.8395
MEM 879.476562 1775762404.9414
MEM 879.476562 1775762405.0435
MEM 879.476562 1775762405.1459
MEM 879.476562 1775762405.2480
MEM 879.476562 1775762405.3510
MEM 879.476562 1775762405.4532
MEM 879.476562 1775762405.5552
MEM 879.476562 1775762405.6578
MEM 879.476562 1775762405.7601
MEM 879.476562 1775762405.8621
MEM 879.476562 1775762405.9642
MEM 879.476562 1775762406.0660
MEM 879.476562 1775762406.1684
MEM 879.476562 1775762406.2702
MEM 879.476562 1775762406.3726
MEM 879.476562 1775762406.4743
MEM 879.476562 1775762406.5770
MEM 879.476562 1775762406.6793
MEM 879.476562 1775762406.7812
MEM 879.476562 1775762406.8831
MEM 879.476562 1775762406.9849
MEM 879.476562 1775762407.0868
MEM 879.476562 1775762407.1885
MEM 879.476562 1775762407.2903
MEM 879.476562 1775762407.3926
MEM 879.476562 1775762407.4946
MEM 879.476562 1775762407.5963
MEM 879.476562 1775762407.6986
MEM 879.476562 1775762407.8007
MEM 879.476562 1775762407.9029
MEM 879.476562 1775762408.0046
MEM 879.476562 1775762408.1067
MEM 879.476562 1775762408.2088
MEM 879.476562 1775762408.3106
MEM 879.476562 1775762408.4131
MEM 879.476562 1775762408.5147
MEM 879.476562 1775762408.6165
MEM 879.476562 1775762408.7185
MEM 881.667969 1775762408.8204
MEM 879.476562 1775762408.9227
MEM 879.476562 1775762409.0243
MEM 881.410156 1775762409.1261
MEM 885.527344 1775762409.2281
MEM 881.734375 1775762409.3299
MEM 879.734375 1775762409.4317
MEM 879.734375 1775762409.5337
MEM 884.296875 1775762409.6355
MEM 877.328125 1775762409.7373
MEM 875.484375 1775762409.8391
MEM 875.691406 1775762409.9411
MEM 879.964844 1775762410.0431
MEM 880.070312 1775762410.1447
MEM 878.070312 1775762410.2465
MEM 878.355469 1775762410.3483
MEM 877.609375 1775762410.4500
MEM 878.226562 1775762410.5516
MEM 885.671875 1775762410.6537
MEM 884.894531 1775762410.7555
MEM 879.671875 1775762410.8571
MEM 879.671875 1775762410.9589
MEM 882.179688 1775762411.0614
MEM 882.171875 1775762411.1635
MEM 880.292969 1775762411.2651
